Key,Faculty,Department,Program,Level,Degree,Course code,Course number,Title,Description,Metadata,Type,Website
FAS_785,FAS,Education,Applied Linguistics,Graduate,Master,APLI,616,Pedagogical Grammar,"Final teaching research project: design, implement, and evaluate the teaching of an original set of materials on a grammar feature; write up the analysis in a final report",,Course-integrated,
FAS_786,FAS,Education,Applied Linguistics,Graduate,Master,APLI,623,Sociolinguistics,Students complete a project targeting a sociolinguistic topic of their choice. The project can be either data driven (based on language data collected by students) or conceptual (involving a critical review of relevant issues on a given topic). Students write up the results of this project in a brief report format and present its content in a 10-minute presentation.,,Course-integrated,
FAS_787,FAS,Education,Applied Linguistics,Graduate,Master,APLI,626,Variationist Approaches to Second Language Acquisition,"Conceptualize, design and implement a pilot study using variationist analytical tools; review and critique studies in the field; create sociolinguistically-influenced pedagogical materials for language teaching",,Course-integrated,
FAS_788,FAS,Education,Applied Linguistics,Graduate,Master,APLI,630,Second Language Syllabus Design and Curriculum Planning,Students conduct a needs analysis based on a language program in their community with the aim to improve language instruction. They also complete a final project: design language curriculum based on the needs analysis. Knowledge of theories learned during the course is disseminated through a digital presentation and a blog post or research paper which students are encouraged to publish online and/or submit for publication,,Course-integrated,
FAS_789,FAS,Education,Applied Linguistics,Graduate,Master,APLI,634,Cross-linguistic Influence,"Final research project: students design and pilot (collect data) a study, and analyze and write up results; many students present their findings at the annual Graduate Student Symposium",,Course-integrated,
FAS_79,FAS,Chemistry and Biochemistry,Chemistry,Graduate,Master,CHEM,614,Modern Aspects of Practical Mass Spectrometry,Independent mass spectrometry project,,Course-integrated,
FAS_790,FAS,Education,Applied Linguistics,Graduate,Master,APLI,635,Language Assessment,"Students complete projects in which they analyze and deconstruct existing language assessments, as well as writing blueprints for language assessments in specific contexts of their own choice",,Course-integrated,
FAS_791,FAS,Education,Applied Linguistics,Graduate,Master,APLI,636,Language Awareness,Students research and teach language awareness techniques to the entire class.,,Course-integrated,
FAS_792,FAS,Education,Applied Linguistics,Graduate,Master,APLI,644,Technology in Language Teaching,"Design, create and assess pedagogical materials involving reading and writing (including lesson plans, activities, textbooks, virtual learning environments, website, games, etc.); final projects: develop a full-fledged virtual learning environment and a research project to implement computer technology in language teaching and/or learning",,Course-integrated,
FAS_793,FAS,Education,Applied Linguistics,Graduate,Master,APLI,647,Supervision of Practice Teaching,Students observe and assist novice ESL teachers and provide one-on-one mentoring.,,Course-integrated,
FAS_794,FAS,Education,Applied Linguistics,Graduate,Master,APLI,660,Research Methods,"Students engage in a project leading to a proposal for an MA-level research study. The research proposal consists of two parts: (a) review of the literature and (b) method section, organized as a single, coherent document. The research proposal also includes an oral presentation, and a response to peer feedback document.",,Course-integrated,
FAS_795,FAS,Education,Instructional Technology,Graduate,Master / Graduate Diploma,ETEC,650,Fundamentals of Instructional Design,Real-world project,,Course-integrated,
FAS_796,FAS,Education,Instructional Technology,Graduate,Master / Graduate Diploma,ETEC,651,Fundamentals of Human Performance Technology,Real-world project,,Course-integrated,
FAS_799,FAS,Education,Child Studies,Graduate,Master,CHST,605,Quantitative Methods of Inquiry,"Laboratory work, practical experience",,Course-integrated,https://www.concordia.ca/academics/graduate/calendar/current/fasc/educ.html#DipInstrTech
FAS_142,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,342,Creative Writing: Prose Fiction,"Writing workshop (peer critique, revision, ongoing development)",Hands-on workshops,Course-integrated,
FAS_80,FAS,Chemistry and Biochemistry,Chemistry,Graduate,Master,CHEM,631,Computational Chemistry,Laboratory,,Course-integrated,
FAS_800,FAS,Education,Child Studies,Graduate,Master,CHST,606,Qualitative Methods of Inquiry,"Laboratory work, practical experience",,Course-integrated,
FAS_801,FAS,Education,Child Studies,Graduate,Master,CHST,608,Field Observations,2-3 hours weekly in an appropriate setting,,Course-integrated,
FAS_802,FAS,Education,Child Studies,Graduate,Master,CHST,618,Childhood Settings,Field trips to different types of settings,,Course-integrated,
FAS_803,FAS,Education,Educational Studies,Graduate,Master,ESTU,670,Adult Education as a Field of Study,A Canadian and Quebec perspective,,Course-integrated,
FAS_143,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,347,Creative Non-Fiction Writing,"Writing workshop (peer critique, revision, ongoing development)",Hands-on workshops,Course-integrated,
FAS_144,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,348,Creative Writing: Poetry,"Writing workshop (peer critique, revision, ongoing development)",Hands-on workshops,Course-integrated,
FAS_145,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,429,Advanced Studies in Creative Writing,"Writing workshop (peer critique, revision, ongoing development)",Hands-on workshops,Course-integrated,
FAS_147,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,415,Literary Production: Curating and Archiving the Literary Event,Students aid in the development and maintenance of a related blog and an archive of current and previous reading series,Hands-on workshops,Course-integrated,
FAS_148,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,416,The Solo Play,"Writing workshop (peer critique, revision, ongoing development)",Hands-on workshops,Course-integrated,
FAS_809,FAS,Economics,Economics,Graduate,Master / PhD,ECON,695,Special Topics: Computational Economics,computer analysis; model building; practical aspects of analysis,,Course-integrated,
FAS_81,FAS,Chemistry and Biochemistry,Chemistry,Graduate,Master,CHEM,651,Nanochemistry,Term project carried out using the nanoscience facilities held in the department research labs,,Course-integrated,
FAS_150,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,428,Advanced Studies in Creative Writing,"Writing workshop (peer critique, revision, ongoing development)",Hands-on workshops,Course-integrated,
FAS_977,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,384,Creative Writing: Playwriting,"Writing workshop (peer critique, revision, ongoing development)",Hands-on workshops,Course-integrated,
FAS_812,FAS,Economics,Economics,Graduate,Graduate Diploma,ECON,521 (x-listed w 421),Econometrics I,computer-based applications,,Course-integrated,
FAS_813,FAS,Economics,Economics,Graduate,Graduate Diploma,ECON,522 (x-listed w 422),Econometrics II,computer-based applications,,Course-integrated,
FAS_814,FAS,Economics,Economics,Graduate,Master / PhD,ECON,680 (lab),Econometric Theory I,computer-based applications,,Course-integrated,
FAS_815,FAS,Economics,Economics,Graduate,Master / PhD,ECON,681 (lab),Econometric Theory II,computer-based applications,,Course-integrated,
FAS_978,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,414,Literary Publishing and Editing,"Workshop in publishing and editing, involving hands-on projects",Hands-on workshops,Course-integrated,
FAS_979,FAS,English,Creative Writing,Undergraduate,Bachelor,ENGL,417,Writing for Media,"Writing workshop (peer critique, revision, ongoing development)",Hands-on workshops,Course-integrated,
FAS_980,FAS,English,English Literature,Undergraduate,Bachelor,ENGL,474,Honours Essay,"With the permission of the Department, an honours student may arrange a tutorial program with a faculty member, culminating in the writing of a long paper.",,Course-integrated,
FAS_981,FAS,English,English Literature,Undergraduate,Bachelor,ENGL,480,Independent Studies,"With the permission of the Department, a student may arrange a tutorial program with a faculty member.",,Course-integrated,
FAS_82,FAS,Chemistry and Biochemistry,Chemistry,Graduate,Master,CHEM,692,Experimental Protein Chemistry,"Hands-on course, Laboratory",,Course-integrated,
FAS_744,FAS,Education,Early Childhood and Elementary Education,Undergraduate,Bachelor,EDUC,264,"Communication: Child, Parent and Teacher",Students interact with parents of the children in the observation nursery by conducting and participating in parent-teacher seminars,Real-world project/assignment,Course-integrated;Community-based;Work-integrated,
FAS_745,FAS,Education,Early Childhood and Elementary Education,Undergraduate,Bachelor,EDUC,301,Integrating Computers into the Elementary Classroom,Hands-on experience with the computer,Real-world project/assignment;Laboratory/Clinics,Course-integrated;Community-based;Work-integrated,
FAS_746,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,302,Working in Childhood Settings: Leadership and Organizational Issues,Course-integrated project: Drafting an advocacy letter to the Ministre de Famille et des Aines; preparing a handbook for parents and staff in an early childhood setting; role-playing to simulate professional development and leadership.,Real-world project/assignment;Games/Role-playing,Course-integrated;Community-based;,
FAS_747,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,303,"Children, Families and Social Policy","Group Project: Drafting policy statements, linking theoretical concepts with real-life needs and issues",Real-world project/assignment,Course-integrated,
FAS_748,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,304,Play in Childhood Settings,"Course-integrated project: Designing play activities/material/space; arranging classroom configuration to explore play space; engaging in hands-on, play-based activities; using photo-elicitation methods in play; inquiry-based learning sessions using video case examples",Case studies;Games/Role-playing,Course-integrated,
FAS_749,FAS,Education,Any programs,Undergraduate,Bachelor,EDUC,307,Integrating Digital Technologies and Social Media in Learning Environments,Practical project-based activities,Case studies,Course-integrated,
FAS_826,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,BIOL,510,Bioinformatics,Computer lab,,Course-integrated,
FAS_827,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,BIOL,516,Project in Biotechnology and Genomics,Research project,,Course-integrated,
FAS_828,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,BIOL,614,Advanced Topics in Ecology: Advanced Field Ecology,2 weeks of fieldwork in a research station ,,Course-integrated,
FAS_829,FAS,Biology,Biology,Graduate,Master,BIOL,630,Bioinformatics,Computer lab,,Course-integrated,
FAS_830,FAS,Biology,Biology,Graduate,Master,BIOL,631,Advanced Top/Biotechnology: Synthetic Biology and Industrial Applications,Real-world project/assignment,,Course-integrated,
FAS_831,FAS,Biology,Biology,Graduate,Master,BIOL,631,Advanced Top/Biotechnology: Tools of Synthetic Biology,Real-world project/assignment,,Course-integrated,
FAS_832,FAS,Biology,Biology,Graduate,Master,BIOL,680,High-throughput Instrumentation,Real-world project/assignment,,Course-integrated,
FAS_833,FAS,Biology,Biology,Graduate,Master,BIOL,680,Advanced Topics in Biology: Advanced Statistics in Biological Science,Computer lab,,Course-integrated,
FAS_834,FAS,Biology,Biology,Graduate,Ph.D.,BIOL,801,Pedagogical Training,Pedagogical Practicum,,Course-integrated,
FAS_835,FAS,Biology,Biology,Graduate,Ph.D.,BIOL,802,Research Seminar,Research seminar,,Course-integrated,
FAS_750,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,360,Introduction to Inclusive Practices,"Active Learning activities that include case discussions, role-playing, and presentations; Analyzing psychoeducational evaluations to identify children's strengths and needs",Case studies;Games/Role-playing,Course-integrated,
FAS_751,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,361,Inclusive Practices in Early Childhood Settings,"Group Project: Analysis of case studies to identify short- and long-term objectives, intervention strategies and activities for children with exceptionalities in early childhood settings",Case studies,Course-integrated,
FAS_752,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,362,Inclusive Practices for School-Aged Populations,"Group Project: Analysis of case studies to identify short- and long-term objectives, intervention strategies and activities for children with exceptionalities in childhood settings",Case studies,Course-integrated,
FAS_753,FAS,Education,Early Childhood and Elementary Education,Undergraduate,Bachelor,EDUC,382,Teaching Science Concepts in the Elementary Classroom,Developing activities for classroom use,Games/Role-playing,Course-integrated,
FAS_840,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,506,In the Field: Methods,Practicum course,,Course-integrated,
FAS_841,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,507,Scriptwriting for the Media,Practicum course,,Course-integrated,
FAS_842,FAS,Communication Studies,Communication Studies,Graduate,Certificate,COMS,569,Media Production: Moving Images,Lectures and Laboratory: average 6 hours per week,,Course-integrated,
FAS_843,FAS,Communication Studies,Communication ,Graduate,PhD ,COMS,876,Media Technology as Practice,Research-creation Laboratory,,Course-integrated,
FAS_844,FAS,Economics,Economics,Graduate,Master,ECON,696,Research Methodology in Economics,Activities focus on academic research specific to Economics. Students learn how to write an academic-level paper in Economics.,,Course-integrated,
FAS_845,FAS,Economics,Economics,Graduate,PhD,ECON,806,Research Seminar,"Experience-based seminar for PhD students in first and second year. Activities focus on academic and professional practice for economists, with emphasis on the job market. ",,Course-integrated,
FAS_846,FAS,Economics,Economics,Graduate,Graduate Diploma,ECON,523 (x-listed w 423),Applied Econometrics,computer analysis; case studies; model building,,Course-integrated,
FAS_847,FAS,Education,Educational Technology (MA) / Instructional Technology (GDip),Graduate,Master / Graduate Diploma,ETEC,613,Learning Theories,Conduct design sprints to determine a theoretically sound response to a real-world problem of performance and instruction,,Course-integrated,
FAS_848,FAS,Education,Educational Technology (MA) / Instructional Technology (GDip),Graduate,Master / Graduate Diploma,ETEC,637,Educational Gaming and Modeling,"Given a real-world prompt, design and develop an educational game",,Course-integrated,
FAS_849,FAS,Education,Educational Technology (MA) / Instructional Technology (GDip),Graduate,Master / Graduate Diploma,ETEC,665,Introduction to Digital Media,Convert real-world documents into learning programs,,Course-integrated,
FAS_850,FAS,Education,Educational Technology (MA) / Instructional Technology (GDip),Graduate,Master / Graduate Diploma,ETEC,669,Designing and Developing Interactive Instruction,"Given a real-world prompt, design and develop a learning program ",,Course-integrated,
FAS_851,FAS,Education,Educational Technology (MA) / Instructional Technology (GDip),Graduate,Master / Graduate Diploma,ETEC,671,Administering Educational Technology Groups,"Real-world practice of educational technology, experiential learning activities",,Course-integrated,
FAS_852,FAS,Education,Educational Technology (MA) / Instructional Technology (GDip),Graduate,Master / Graduate Diploma,ETEC,681,Foundations of Distance Education,Real-world projects in educational technology found using the software Riipen.,,Course-integrated,
FAS_754,FAS,Education,Early Childhood and Elementary Education,Undergraduate,Bachelor,EDUC,385,Teaching a Second Language in Early Childhood and Elementary School,Development of appropriate classroom activities at the elementary level.,Games/Role-playing,Course-integrated,
FAS_755,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,402,Diversity Issues in Childhood,"Course-integrated project: Student interview a parent or primary caregiver or an educator, and interpret/analyze responses in terms of the concepts and ideas covered in the course",Real-world project/assignment,Course-integrated,
FAS_756,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,406,Physical Activity: Health and Well-being in Early Childhood Settings,Identifying safety strategies in indoor and outdoor environments in early childhood settings; simulation and role-playing activities to practice procedures for reporting suspected child-safety and child-abuse issues,Real-world project/assignment;Games/Role-playing,Course-integrated,
FAS_759,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,461,Child Studies Seminar: Early Childhood Settings,"improvisation and role-play of communication skills; Preparing lesson plans, activity plans, observation reports; In-class case discussions",Real-world project/assignment;Games/Role-playing,Course-integrated,
FAS_857,FAS,"Geography, Planning and Environment","PhD (Geography, Urban & Environmental Studies)",Graduate,PhD,HENV,801,Pedagogical Training,Teaching training and in-class practice,,Course-integrated,
FAS_760,FAS,Education,Child Studies,Undergraduate,Bachelor,EDUC,463,Child Studies Seminar: Inclusive Practices in Childhood Settings,Improvisation and role-play of communication skills; Preparing intervention goals and plans; identifying remediation and rehabilitation materials; modifying activities plans in accordance with inclusive practices; writing intervention reports; In-class case discussions,Real-world project/assignment,Course-integrated,
FAS_108,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,423,Applied Econometrics,computer analysis; case studies; model building,Case studies;Laboratory/Clinics,Course-integrated,
FAS_804,FAS,Economics,Economics,Undergraduate,Bachelor,ECON,200,Economics and Social Issues,case studies,Case studies,Course-integrated,
FAS_805,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,318,Canadian Economic Policy and Institutions,case studies; role-play,Case studies;Games/Role-playing,Course-integrated,
FAS_806,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,319,International Economic Policy and Institutions,case studies; role-play,Case studies;Games/Role-playing,Course-integrated,
FAS_807,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,324,Economic Data Analysis,computer-based applications,Laboratory/Clinics,Course-integrated,
FAS_808,FAS,Economics,Economics,Undergraduate,Bachelor,ECON,330,Economics in Practice,case studies; role-play,Case studies;Games/Role-playing,Course-integrated,
FAS_810,FAS,Economics,Economics / Analytical Economics,Undergraduate,Bachelor,ECON,421,Econometrics I,computer-based applications,Laboratory/Clinics,Course-integrated,
FAS_811,FAS,Economics,Economics,Undergraduate,Bachelor,ECON,422,Econometrics II,computer-based applications,Laboratory/Clinics,Course-integrated,
FAS_100,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,477,Communication Media: Sound III,Practicum course,Practica,Course-integrated,
FAS_101,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,484,Communication Media: Moving Images III,Practicum course,Practica,Course-integrated,
FAS_103,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,493,Communication Media: Advanced Topics,Practicum course,Practica,Course-integrated,
FAS_838,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,307,Scriptwriting for the Media,Practicum course,Practica,Course-integrated,
FAS_839,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,407,Scriptwriting for the Media,Practicum course,Practica,Course-integrated,
FAS_89,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,274,Communication Media: Intermedia I,Practicum course,Practica,Course-integrated,
FAS_90,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,276,Communication Media: Sound I,Practicum course,Practica,Course-integrated,
FAS_91,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,284,Communication Media: Moving Images I,Practicum course,Practica,Course-integrated,
FAS_92,FAS,Communication Studies,Communication Studies / Communication and Cultural Studies,Undergraduate,Bachelor,COMS,324,Communication Analysis of Environment,"Workshops, Montreal locations site analysis",Real-world project/assignment,Course-integrated,
FAS_93,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,361,Propaganda,Projects,Case studies,Course-integrated,
FAS_94,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,374,Communication Media: Intermedia II,Practicum course,Practica,Course-integrated,
FAS_95,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,376,Communication Media: Sound II,Practicum course,Practica,Course-integrated,
FAS_96,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,384,Communication Media: Moving Images II,Practicum course,Practica,Course-integrated,
FAS_98,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,393,Communication Media: Special Topics,Practicum course,Practica,Course-integrated,
FAS_99,FAS,Communication Studies,Communication Studies,Undergraduate,Bachelor,COMS,475,Communication Media: Intermedia III,Practicum course,Practica,Course-integrated,
FAS_952,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,370,Practicum in Archaeology,At least 1 month in the field,Practica,Course-integrated;Research-based;Work-integrated,
FAS_955,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,460,"Ancient Pottery:  History, Analysis and Interpretation","Artifact handling, materials analysis",Laboratory/Clinics;Case studies,Course-integrated,
FAS_884,FAS,Political science,Political science,Graduate,Master,POLI,644,Research Methods,"This course is intended to introduce undergraduate students to quantitative analysis in political science. Key skills in univariate, bivariate, and multivariate analysis; inferential statistics; and graphing are demonstrated using statistical software in lab exercises.",,Course-integrated,
FAS_885,FAS,Political science,Public Policy & Public Administration,Graduate,Master,POLI,683,Mechanics of Briefing Notes,"This course provides students with a thorough understanding of the development and the requirements for writing and presenting policy ideas through government communication vehicles including Question Period notes, Briefing Notes, Memorandums to Cabinet, Treasury Board Submissions, and oral and written presentations to senior management.",,Course-integrated,
FAS_886,FAS,Political science,Public Policy & Public Administration,Graduate,Master,POLI,683,Professional Development,"Students choose from a number of pre-selected workshops, including soft skills, teamwork, leadership, interviewing, communications, French, and data management and analytics, professional ethics, and gender analysis which will help prepare them for their professional careers.",,Course-integrated,
FAS_887,FAS,Political science,Public Policy & Public Administration,Graduate,Master,POLI,683,Minding the Gap,Taught by Public Servant in Residence (current or former) students practice how to prepare and deliver information needed by high level public servants via multiple case studies provided by past and current decision-makers in the Canadian and Quebec governments.,,Course-integrated,
FAS_888,FAS,Political Science,Public Policy & Public Administration,Graduate,Master,POLI,693,Internship,"Students complete 8 public policy stream courses; compete for and attain a relevant paid internship as policy analyst or program evaluator. They complete one 16 week full-time internship, and can extend to 32 weeks.  21 credits divided in Professional Development/Internship/Academic Report.",,Work-integrated,https://www.concordia.ca/artsci/polisci/programs/graduate/mpppa-public-policy-administration/internship.html
FAS_956,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,470,Advanced Seminar in Archaeology,Artifact and materials analysis,Laboratory/Clinics;Case studies,Course-integrated,
FAS_957,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,490,Honours Thesis,,Capstone project,Course-integrated,
FAS_890,FAS,Political science,Political science,Graduate,Master; PhD,POLI,687/812,IPSA-Concordia Summer School in Applied Diplomacy,"Intensive summer school with guest lectures from diplomacy practitioners and academic experts with final assignment a case study completed by team, case studies are policy problems/challenges contributed by diplomacy professionals.",,Course-integrated,https://www.concordia.ca/summer/artsci/ipsa-applied-diplomacy.html
FAS_960,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,383,Intermediate Ancient Greek I: Prose,,Games/Role-playing,Course-integrated,
FAS_961,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,384,Intermediate Ancient Greek II: Poetry,,Games/Role-playing,Course-integrated,
FAS_962,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,391,Intermediate Latin I: Prose,,Games/Role-playing,Course-integrated,
FAS_963,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,392,Intermediate Latin II: Poetry,,Games/Role-playing,Course-integrated,
FAS_964,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,410,Advanced Ancient Greek I: Prose,,Games/Role-playing,Course-integrated,
FAS_965,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,411,Advanced Ancient Greek II: Poetry,,Games/Role-playing,Course-integrated,
FAS_966,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,420,Advanced Latin I: Prose,,Games/Role-playing,Course-integrated,
FAS_967,FAS,"Classics, Modern Languages and Linguistics","Classics, Modern Languages and Linguistics",Undergraduate,Bachelor,CLAS,421,Advanced Latin II: Poetry,,Games/Role-playing,Course-integrated,
FAS_899,FAS,Physics,Physics,Graduate,Master,PHYS,760,MSc Seminar on Selected Topics,includes workshops,,Course-integrated,
FAS_493,FAS,Applied Human Sciences,Any program,Any level,Any degree,,,Centre for Human Relations and Community Studies (CHRCS),"Action research, consultation, and training",,Course-integrated;Community-based;Research-based,
FAS_57,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,205,General Chemistry I,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_900,FAS,Physics,Physics,Graduate,PhD,PHYS,862,Doctoral Seminar on Selected Topics II,includes workshops,,Course-integrated,
FAS_901,FAS,Physics,Physics,Graduate,Master,PHYS,679*,Computational Methods in Physics with Python,includes Programming project,,Course-integrated,
FAS_58,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,206,General Chemistry II,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_59,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,212,Analytical Chemistry for Biologists,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_60,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,217,Introductory Analytical Chemistry I,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_61,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,218,Introductory Analytical Chemistry II,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_906,FAS,Psychology,Psychology,Graduate,Master,PSYC,601,Statistical Analysis and Experimental Design,Laboratory,,Course-integrated,
FAS_907,FAS,Psychology,Psychology,Graduate,PhD,PSYC,823,Multivariate Statistics,Laboratory,,Course-integrated,
FAS_62,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,221,Introductory Organic Chemistry I,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_63,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,222,Introductory Organic Chemistry II,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_64,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,235,Physical Chemistry II: Kinetics of Chemical Reactions,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_65,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,241,Inorganic Chemistry I: Introduction to Periodicity and Valence Theory,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_66,FAS,Chemistry and Biochemistry,Chemistry,Undergraduate,Bachelor,CHEM,242,Inorganic Chemistry II: The Chemistry of the Main Group Elements,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_67,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,271,Biochemistry I,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_68,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,293,Spectroscopy and Structure of Organic Compounds,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_69,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,312,Intermediate Analytical Chemistry,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_70,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,324,Organic Chemistry III: Organic Reactions,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_71,FAS,Chemistry and Biochemistry,Biochemistry,Undergraduate,Bachelor,CHEM,325,Organic Chemistry IV: Organic Structure and Stereochemistry,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_72,FAS,Chemistry and Biochemistry,Biochemistry,Undergraduate,Bachelor,CHEM,335,Biophysical Chemistry,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_73,FAS,Chemistry and Biochemistry,Chemistry,Undergraduate,Bachelor,CHEM,341,Inorganic Chemistry III: The Transition Metals,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_74,FAS,Chemistry and Biochemistry,Biochemistry,Undergraduate,Bachelor,CHEM,375,Biochemistry II,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_75,FAS,Chemistry and Biochemistry,Chemistry,Undergraduate,Bachelor,CHEM,419,Independent Study and Practicum,Practicum,Practica,Course-integrated,
FAS_76,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,431,Computational Chemistry for Chemists and Biochemists,"Hands-on experience, Laboratory",Laboratory/Clinics,Course-integrated,
FAS_77,FAS,Chemistry and Biochemistry,Any program,Undergraduate,Bachelor,CHEM,436,Molecular Modelling of Proteins,"Hands-on introduction, Computer laboratory",Laboratory/Clinics,Course-integrated,
FAS_78,FAS,Chemistry and Biochemistry,Biochemistry,Undergraduate,Bachelor,CHEM,477,Advanced Laboratory in Biochemistry,Laboratory,Laboratory/Clinics,Course-integrated,
FAS_923,FAS,Religions and Cultures,Religions and Cultures,Graduate ,MA,RELI,6007,"Religion, Politics, Heritage","research project based on real world heritage site, data collection, survey, interviewing, ethnographic observation, archival and media research. Presentation and discussion moderation.",,Course-integrated,
FAS_924,FAS,Religions and Cultures,Religions and Cultures,Graduate ,MA JS,RELI,6018,Jewish Community Engagement,internship in local Jewish community organization/institution,,Course-integrated,
FAS_925,FAS,Religions and Cultures,Religions and Cultures,Graduate ,MA R&C,RELI,6008,Community Engagement,internship in local community organization or institution,,Course-integrated,
